geocodenum,hsppl2000,parproper2000,parnonproper2000,aptpro2000,hspro2000,hsgeo2000,hi_ses_hs2000,low_ses_hs2000,hi_ses_sigungu2000,low_ses_sigungu2000,d_par_hs2000,d_par_sido2000,x_par_hs_low2000,x_par_sido_low2000,hsppl2005,parproper2005,parnonproper2005,aptpro2005,hspro2005,hsgeo2005,hi_ses_hs2005,low_ses_hs2005,hi_ses_sigungu2005,low_ses_sigungu2005,d_par_hs2005,d_par_sido2005,x_par_hs_low2005,x_par_sido_low2005,hsppl2010,parproper2010,parnonproper2010,aptpro2010,hspro2010,hsgeo2010,hi_ses_hs2010,low_ses_hs2010,hi_ses_sigungu2010,low_ses_sigungu2010,d_par_hs2010,d_par_sido2010,x_par_hs_low2010,x_par_sido_low2010,hsppl2015,parproper2015,parnonproper2015,aptpro2015,hspro2015,hsgeo2015,hi_ses_hs2015,low_ses_hs2015,hi_ses_sigungu2015,low_ses_sigungu2015,d_par_hs2015,d_par_sido2015,x_par_hs_low2015,x_par_sido_low2015,hsppl2020,parproper2020,parnonproper2020,aptpro2020,hspro2020,hsgeo2020,hi_ses_hs2020,low_ses_hs2020,hi_ses_sigungu2020,low_ses_sigungu2020,d_par_hs2020,d_par_sido2020,x_par_hs_low2020,x_par_sido_low2020,geo2
25010,445,3.5955057,65.617981,37.303371,62.696629,250101,4,201,16,292,.43835616,.34960735,.049739361,.20439908,301,6.6445184,59.468437,39.534885,60.465115,250101,7,120,20,179,.32039106,.32805625,.096463412,.3428129,341,8.2111435,51.906158,56.891495,43.108505,250102,23,87,28,177,.32990316,.36287975,.12953532,.30608419,265,12.075472,33.962265,70.188683,29.811321,250101,3,41,32,90,.36180556,.37426648,.23348226,.41008291,220,14.090909,31.363636,73.181816,26.818182,250101,6,34,31,69,.29920524,.38557884,.28526571,.4653621,대전광역시 동구
25020,454,9.0308371,50.440529,44.493393,55.506607,250201,6,159,41,229,.54798168,.34960735,.1271404,.20439908,450,19.555555,42.222221,54.888889,45.111111,250201,15,117,88,190,.44533494,.32805625,.26208133,.3428129,355,14.647887,38.591549,63.098591,36.901409,250201,6,83,52,137,.49045479,.36287975,.22215697,.30608419,307,20.19544,27.361563,71.009773,28.990229,250202,49,41,62,84,.30222735,.37426648,.38457578,.41008291,228,26.31579,22.368422,71.491226,28.508772,250201,7,33,60,51,.53039217,.38557884,.37669843,.4653621,대전광역시 중구
25030,1072,16.13806,35.914181,73.227615,26.772388,250301,7,159,173,385,.37252459,.34960735,.26599714,.20439908,1043,28.954937,28.763184,77.085327,22.914669,250301,21,129,302,300,.36046359,.32805625,.41455841,.3428129,881,21.679909,28.717367,73.55278,26.44722,250301,16,122,191,253,.39844382,.36287975,.35202858,.30608419,635,27.401575,21.102362,77.480316,22.519686,250302,158,63,174,134,.43789673,.37426648,.43356863,.41008291,435,35.862068,15.402299,82.528732,17.471264,250302,144,40,156,67,.32606199,.38557884,.59122449,.4653621,대전광역시 서구
25040,361,29.916897,31.301939,62.880886,37.119114,250401,9,73,108,113,.56268436,.34960735,.32302126,.20439908,396,37.878788,20.202021,75,25,250402,137,42,150,80,.38833332,.32805625,.52289408,.3428129,537,36.499069,19.553072,82.495346,17.504656,250402,179,70,196,105,.24659865,.36287975,.58822471,.30608419,468,43.803417,11.111111,85.256409,14.743589,250402,185,35,205,52,.2293621,.37426648,.74271166,.41008291,425,39.764706,11.529411,84.941177,15.058824,250402,148,33,169,49,.20227025,.38557884,.73601031,.4653621,대전광역시 유성구
25050,512,8.0078125,49.21875,58.398438,41.601563,250502,36,121,41,252,.39789006,.34960735,.1292119,.20439908,437,15.789474,51.258583,57.437073,42.562927,250502,55,105,69,224,.32835144,.32805625,.21705386,.3428129,458,8.0786028,46.288208,62.008732,37.991268,250501,5,98,37,212,.32712901,.36287975,.14029992,.30608419,292,8.2191782,40.753426,64.38356,35.61644,250502,20,66,24,119,.2787115,.37426648,.16023643,.41008291,233,9.8712444,39.055794,66.094421,33.905579,250501,2,42,23,91,.37458193,.38557884,.18251748,.4653621,대전광역시 대덕구
26010,498,6.8273091,55.421688,35.943775,64.056229,260101,7,214,34,276,.56947994,.19716512,.0927075,.10580676,453,13.907285,46.799118,45.695366,54.304634,260101,13,143,63,212,.46817911,.19680314,.19296351,.19831815,375,8.2666664,46.933334,59.466667,40.533333,260101,6,93,31,176,.33486071,.21176116,.14118935,.16600633,283,12.367491,34.27562,63.60424,36.39576,260102,28,45,35,97,.33608249,.18321609,.24154398,.27192923,295,16.271187,26.779661,66.440681,33.559322,260102,45,35,48,79,.49446201,.25034341,.28475964,.37825131,울산광역시 중구
26020,761,9.7240477,47.700394,66.491455,33.508541,260201,7,161,74,363,.34893158,.19716512,.15708154,.10580676,721,17.059639,42.024967,65.603333,34.396671,260201,22,132,123,303,.25678179,.19680314,.2717936,.19831815,575,13.73913,40.173912,74.95652,25.043478,260201,6,91,79,231,.31799003,.21176116,.2320783,.16600633,468,19.871796,28.632479,77.564102,22.435898,260202,84,80,93,134,.30621088,.18321609,.36335742,.27192923,395,28.101265,15.189874,83.291138,16.70886,260202,103,39,111,60,.27792794,.25034341,.5680306,.37825131,울산광역시 남구
26030,465,3.8709676,65.376343,63.870968,36.129032,260301,5,130,18,304,.1498538,.19716512,.055628523,.10580676,362,8.2872925,58.563538,73.480659,26.519337,260301,8,63,30,212,.030503144,.19680314,.12390652,.19831815,281,7.1174378,58.718861,65.124557,34.875446,260301,7,62,20,165,.025757575,.21176116,.10807854,.16600633,220,8.636364,46.81818,64.090912,35.909092,260302,18,56,19,103,.4036791,.18321609,.14175522,.27192923,313,13.099042,29.073483,79.233231,20.766773,260302,38,62,41,91,.24551059,.25034341,.28877747,.37825131,울산광역시 동구
26040,294,6.1224489,57.823128,73.12925,26.870749,260401,2,58,18,170,.23006536,.19716512,.093725488,.10580676,345,6.0869565,52.753624,78.840576,21.15942,260402,18,139,21,182,.093406595,.19680314,.10297062,.19831815,348,5.4597702,54.597702,87.356323,12.643678,260402,17,165,19,190,.02631579,.21176116,.09086284,.16600633,334,11.077845,36.227547,85.928146,14.071856,260402,35,92,37,121,.18561536,.18321609,.22500247,.27192923,336,7.7380953,24.404762,92.559525,7.4404764,260402,26,71,26,82,.13414635,.25034341,.23208448,.37825131,울산광역시 북구
26310,272,4.0441175,61.029411,58.455883,41.544117,263101,2,84,11,166,.32420591,.19716512,.060622763,.10580676,286,11.888112,50,74.125877,25.874126,263101,6,47,34,143,.15220074,.19680314,.18879841,.19831815,304,12.5,47.36842,81.578949,18.421053,263101,4,32,38,144,.11695907,.21176116,.20581768,.16600633,292,11.986301,34.246574,81.164383,18.835617,263102,32,69,35,100,.22428571,.18321609,.24596681,.27192923,269,17.472118,26.765799,79.182159,20.817844,263102,41,51,47,72,.1640071,.25034341,.38048512,.37825131,울산광역시 울주군
