geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
강원특별자치도 삼척시,32070,,,,,,,,,,,,,,,,,09-125-011,.059574891,.011335577,312.53159,.28807124,.1658731,2815,789,152,19,544,.25,.10253696,.82029569,.24303031,.22412756,.71773016
강원특별자치도 영월군,32330,,,,,,,,,,,,,,,,,09-128-011,.064788662,.011335577,301.65952,.30352104,.19505456,2815,789,75,10,253,.45333335,.10704694,.80285203,.24303031,.22412756,.71773016
강원특별자치도 평창군,32340,,,,,,,,,,,,,,,,,09-129-011,.048026066,.011335577,335.10449,.29889604,.17789166,2815,789,69,14,295,.29399586,.13309397,.65596318,.24303031,.22412756,.71773016
강원특별자치도 정선군,32350,,,,,,,,,,,,,,,,,09-130-011,.022935458,.011335577,311.0256,.29864308,.16125725,2815,789,118,17,335,.40079761,.11126748,.77232724,.24303031,.22412756,.71773016
강원특별자치도 양구군,32380,,,,,,,,,,,,,,,,,09-133-011,.065500624,.011335577,333.89285,.33981463,.23309048,2815,789,44,6,127,.40909091,.11077441,.81234568,.24303031,.22412756,.71773016
강원특별자치도 인제군,32390,,,,,,,,,,,,,,,,,09-134-011,.05032558,.011335577,364.04477,.29084599,.18094507,2815,789,43,12,233,.53488374,.17007901,.60944974,.24303031,.22412756,.71773016
강원특별자치도 고성군,32400,,,,,,,,,,,,,,,,,09-135-011,.017606806,.011335577,266.8428,.27806845,.14069588,2815,789,69,3,173,.39130434,.034889396,.80245614,.24303031,.22412756,.71773016
강원특별자치도 양양군,32410,,,,,,,,,,,,,,,,,09-136-011,.029392317,.011335577,295.87439,.36617875,.25669974,2815,789,74,8,186,.21621622,.094584361,.87490529,.24303031,.22412756,.71773016
충청북도 제천시,33030,,,,,,,,,,,,,,,,,10-140-011,.076470211,.033352517,347.46359,.33943564,.21421136,2815,789,83,49,505,.39267272,.2831654,.47964749,.3286033,.30385315,.58587778
충청북도 청주시,33040,,,,,,,,,,,,,,,,,10-137-051,.06486886,.033352517,380.69354,.25528193,.12205744,2111,1203,150,132,1210,.29757577,.39040515,.44364223,.3286033,.30385315,.58587778
