"geocode_str","geo2","geocodenum","p_hs_sigungu2006","p_hs_sido2006","mean2006","gini2006","theil2006","low_inc_dong2006","hi_inc_dong2006","low_inc_sigungu2006","hi_inc_sigungu2006","hsppl2006","d_inc_sigungu2006","x_inc_sigungu_low2006","x_inc_sigungu_high2006","n_inc_sigungu_low2006","n_inc_sigungu_high2006","d_inc_sido2006","x_inc_sido_low2006","x_inc_sido_high2006","n_inc_sido_low2006","n_inc_sido_high2006","p_hs_sigungu2010","p_hs_sido2010","mean2010","gini2010","theil2010","low_inc_dong2010","hi_inc_dong2010","low_inc_sigungu2010","hi_inc_sigungu2010","hsppl2010","d_inc_sigungu2010","x_inc_sigungu_low2010","x_inc_sigungu_high2010","n_inc_sigungu_low2010","n_inc_sigungu_high2010","d_inc_sido2010","x_inc_sido_low2010","x_inc_sido_high2010","n_inc_sido_low2010","n_inc_sido_high2010","d_inc_sigungu_com2010","x_inc_sigungu_low_com2010","n_inc_sigungu_low_com2010","d_inc_sigungu_sch2010","x_inc_sigungu_low_sch2010","n_inc_sigungu_low_sch2010","d_inc_sigungu_es2010","x_inc_sigungu_low_es2010","n_inc_sigungu_low_es2010","d_inc_sigungu_ms2010","x_inc_sigungu_low_ms2010","n_inc_sigungu_low_ms2010","d_inc_sigungu_hs2010","x_inc_sigungu_low_hs2010","n_inc_sigungu_low_hs2010","d_inc_sigungu_cl2010","x_inc_sigungu_low_cl2010","n_inc_sigungu_low_cl2010","x_inc_sigungu_high_es2010","n_inc_sigungu_high_es2010","x_inc_sigungu_high_ms2010","n_inc_sigungu_high_ms2010","x_inc_sigungu_high_hs2010","n_inc_sigungu_high_hs2010","x_inc_sigungu_high_cl2010","n_inc_sigungu_high_cl2010"
"01-001-053","서울특별시 종로구","11010",0.082921639084816,0.00956730358302593,370.973571777344,0.302384585142136,0.16765783727169,2,0,31,17,134,0.870967745780945,0.0867895558476448,0.158263310790062,0.754947125911713,0.754947125911713,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0387906059622765,0.0082766292616725,381.996795654297,0.355662435293198,0.224027186632156,1988,1117,147,97,612,0.412651658058167,0.314640611410141,0.47682648897171,0.069206178188324,0.069206178188324,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.158949360251427,0.583549380302429,0.054388452321291,0.15858843922615,0.432787328958511,0.0622941255569458,0.394194036722183,0.312639355659485,0.215336546301842,0.329401075839996,0.331301301717758,0.163028255105019,0.215183317661285,0.421995609998703,0.105165913701057,0.158536583185196,0.473697990179062,0.0526040457189083,0.472024112939835,0.215336546301842,0.505670428276062,0.163028255105019,0.472838461399078,0.105165913701057,0.473697990179062,0.0526040457189083
"01-002-052","서울특별시 중구","11020",0.0589879974722862,0.00956730358302593,308.835662841797,0.321558475494385,0.189523726701736,3,1,42,7,106,0.666666686534882,0.108134917914867,0.648809552192688,0.243055552244186,0.243055552244186,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0540587715804577,0.0082766292616725,373.377593994141,0.371920734643936,0.248121485114098,2287,1100,134,74,528,0.413674861192703,0.267078131437302,0.48362797498703,0.0596136003732681,0.0596136003732681,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.208069577813148,0.614935100078583,0.0628684088587761,0.217939391732216,0.376385778188705,0.0657301917672157,0.397249609231949,0.288367390632629,0.208523571491241,0.372830182313919,0.252297222614288,0.212832644581795,0.251915723085403,0.31199586391449,0.107046358287334,0.130266070365906,0.447212517261505,0.072852112352848,0.503109037876129,0.208523571491241,0.534870147705078,0.212832644581795,0.580957770347595,0.107046358287334,0.479935377836227,0.072852112352848
"01-003-051","서울특별시 용산구","11030",0.0564848147332668,0.00956730358302593,357.759429931641,0.318074762821198,0.179990604519844,8,4,53,26,193,0.564586341381073,0.202483057975769,0.412753909826279,0.384763032197952,0.384763032197952,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0309821367263794,0.0082766292616725,416.046142578125,0.364870250225067,0.235195800662041,2111,1203,137,152,785,0.470995008945465,0.374099135398865,0.337181448936462,0.0541597008705139,0.0541597008705139,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.134842455387115,0.565948486328125,0.0293019954115152,0.241642341017723,0.454512119293213,0.135318383574486,0.483277589082718,0.364954203367233,0.312201708555222,0.408088237047195,0.288078635931015,0.305222123861313,0.386090219020844,0.363263696432114,0.242335692048073,0.0956709980964661,0.580279529094696,0.0549733825027943,0.322844088077545,0.312201708555222,0.406699240207672,0.305222123861313,0.394400596618652,0.242335692048073,0.364747107028961,0.0549733825027943
"01-004-052","서울특별시 성동구","11040",0.0287209451198578,0.00956730358302593,319.169311523438,0.320684224367142,0.188348934054375,7,2,113,20,302,0.531415939331055,0.121254898607731,0.685090184211731,0.193654909729958,0.193654909729958,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0178642347455025,0.0082766292616725,407.239685058594,0.339375257492065,0.206515789031982,2287,1100,290,210,1312,0.270279139280319,0.372800678014755,0.514819979667664,0.0935971140861511,0.0935971140861511,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.176670715212822,0.424011588096619,0.0552441701292992,0.198739096522331,0.395293384790421,0.0719635114073753,0.473326176404953,0.34613698720932,0.271290570497513,0.308360815048218,0.371922701597214,0.135672569274902,0.289734661579132,0.27197852730751,0.12436182051897,0.0311287976801395,0.421630799770355,0.0152515480294824,0.382572442293167,0.271290570497513,0.492404729127884,0.135672569274902,0.603659629821777,0.12436182051897,0.563117623329163,0.0152515480294824
"01-005-053","서울특별시 광진구","11050",0.0446681752800941,0.00956730358302593,354.776733398438,0.286375045776367,0.155341327190399,4,1,93,24,331,0.481182783842087,0.149408861994743,0.578959345817566,0.27163177728653,0.27163177728653,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0233400147408247,0.0082766292616725,393.464508056641,0.32390221953392,0.189260229468346,1988,1117,311,223,1491,0.366761356592178,0.339013338088989,0.472794383764267,0.0364204347133636,0.0364204347133636,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.12899774312973,0.462087273597717,0.029431127011776,0.153596326708794,0.478028684854507,0.0456590950489044,0.319543719291687,0.434347063302994,0.136701494455338,0.392762422561646,0.345227837562561,0.214701518416405,0.247619047760963,0.512576282024384,0.09872005879879,0.108908906579018,0.464034557342529,0.0618976950645447,0.428951442241669,0.136701494455338,0.440070658922195,0.214701518416405,0.388703674077988,0.09872005879879,0.474067747592926,0.0618976950645447
"01-006-071","서울특별시 동대문구","11060",0.043977677822113,0.00956730358302593,322.760467529297,0.313004314899445,0.174924120306969,3,2,148,21,369,0.574324309825897,0.0969575121998787,0.683319568634033,0.219722896814346,0.219722896814346,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0128617798909545,0.0082766292616725,379.978271484375,0.325269937515259,0.194959163665771,794,606,315,161,1446,0.285300195217133,0.306115090847015,0.5989208817482,0.0844170451164246,0.0844170451164246,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.12633228302002,0.429444789886475,0.0264997407793999,0.243217021226883,0.385823756456375,0.0743769705295563,0.289915978908539,0.326668828725815,0.135288402438164,0.29410320520401,0.348920077085495,0.132414951920509,0.273809522390366,0.279443860054016,0.106777667999268,0.290787130594254,0.435994535684586,0.11732479929924,0.538042783737183,0.135288402438164,0.518664956092834,0.132414951920509,0.613778471946716,0.106777667999268,0.446680665016174,0.11732479929924
"01-007-052","서울특별시 중랑구","11070",0.0321536585688591,0.00956730358302593,298.762542724609,0.289477586746216,0.148644804954529,6,0,153,21,384,0.361344546079636,0.111109472811222,0.80951189994812,0.079378642141819,0.079378642141819,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0212336406111717,0.0082766292616725,339.766387939453,0.331485956907272,0.201478004455566,2287,1100,380,122,1406,0.316565990447998,0.217420622706413,0.677211821079254,0.0384893231093884,0.0384893231093884,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.176133766770363,0.333264797925949,0.039745531976223,0.31129652261734,0.23657301068306,0.105638608336449,0.407581806182861,0.227313339710236,0.19141398370266,0.563265323638916,0.173131361603737,0.34210079908371,0.300021588802338,0.238507837057114,0.104141287505627,0.308080822229385,0.19090947508812,0.109089106321335,0.581272661685944,0.19141398370266,0.484767824411392,0.34210079908371,0.657350897789001,0.104141287505627,0.700001418590546,0.109089106321335
"01-008-058","서울특별시 성북구","11080",0.0544930770993233,0.00956730358302593,339.536804199219,0.31072410941124,0.174590200185776,2,1,104,29,350,0.487068951129913,0.156330123543739,0.560632169246674,0.283037692308426,0.283037692308426,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0208899732679129,0.0082766292616725,388.545745849609,0.343975335359573,0.212792873382568,1723,1045,304,233,1472,0.397913366556168,0.335045337677002,0.437140703201294,0.142754063010216,0.142754063010216,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.19337323307991,0.449759393930435,0.0614609867334366,0.227098688483238,0.47158670425415,0.0780287310481071,0.401697188615799,0.371914148330688,0.218441262841225,0.319049835205078,0.328021675348282,0.184261918067932,0.340167105197906,0.339664667844772,0.152884513139725,0.196143582463264,0.555620014667511,0.04769017547369,0.409644573926926,0.218441262841225,0.487716406583786,0.184261918067932,0.507450819015503,0.152884513139725,0.396689802408218,0.04769017547369
"01-009-060","서울특별시 강북구","11090",0.0414835922420025,0.00956730358302593,304.003173828125,0.313116818666458,0.180420607328415,5,1,113,12,278,0.557522118091583,0.0822311267256737,0.774343132972717,0.143425732851028,0.143425732851028,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0143078127875924,0.0082766292616725,346.229614257812,0.321370005607605,0.189868465065956,1569,1089,327,106,1162,0.291587322950363,0.21148182451725,0.652401506900787,0.0814064219594002,0.0814064219594002,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.183955028653145,0.30890229344368,0.0642959475517273,0.292956650257111,0.262389212846756,0.114436410367489,0.485212117433548,0.244512513279915,0.292395621538162,0.307736217975616,0.192761868238449,0.104590028524399,0.274862557649612,0.273516207933426,0.07570381462574,0.349999994039536,0.304166674613953,0.209166660904884,0.463091880083084,0.292395621538162,0.702648103237152,0.104590028524399,0.650779962539673,0.07570381462574,0.486666679382324,0.209166660904884
"01-010-051","서울특별시 도봉구","11100",0.0422514453530312,0.00956730358302593,375.220397949219,0.287547409534454,0.149504095315933,6,2,89,39,337,0.438490360975266,0.24433459341526,0.55758410692215,0.198081314563751,0.198081314563751,0.302718371152878,0.240643918514252,0.627570927143097,0.131785169243813,0.131785169243813,0.0281911268830299,0.0082766292616725,404.613433837891,0.33664807677269,0.203660994768143,2111,1203,269,199,1302,0.447217494249344,0.316882282495499,0.428348422050476,0.0735905095934868,0.0735905095934868,0.258324533700943,0.454149186611176,0.44099235534668,0.104858458042145,0.104858458042145,0.177698969841003,0.340747386217117,0.0660997331142426,0.247345611453056,0.428600579500198,0.0809234380722046,0.337713479995728,0.39080536365509,0.135304689407349,0.291666656732559,0.435860067605972,0.128279849886894,0.308270663022995,0.360280722379684,0.150766894221306,0.325337320566177,0.463128715753555,0.16956228017807,0.473889946937561,0.135304689407349,0.435860067605972,0.128279849886894,0.488952398300171,0.150766894221306,0.367309004068375,0.16956228017807
